id,title,rating_norm,vote_confidence,fame_score,popularity_score
848116,Rocky Aur Rani Kii Prem Kahaani,0.6028398004826846,0.5228712158396507,0.7180174005365944,0.5934103589451889
1339876,Mardaani 3,0.7089255245992361,0.3865834882074331,0.40942564895748906,0.4417874418912204
1582770,Dhurandhar: The Revenge,0.7717570108403413,0.48381275077831976,0.7075717641954117,0.5941320938127506
1291608,Dhurandhar,0.701940408029843,0.6570222739975979,0.7194675161695588,0.6824935667540231
62201,Shahenshah,0.6171134681325977,0.391061497826682,0.39807603402774383,0.4270736542328879
1416391,Toaster,0.5606878798600464,0.130353832608894,0.5079958362840703,0.30819654079911973
1135873,GGS - Ganteng-Ganteng Sange,0.5690079549475173,0.24673233445507345,0.0,0.22105397719241798
19404,Dilwale Dulhania Le Jayenge,0.8498758066126351,0.999999999999974,0.817077590349236,0.9226046480966518
1135847,Mimi Cucu Part 2,0.28206363958013925,0.0,0.0,0.04230954593702089
1595507,Vadh 2,0.4465079549475174,0.24673233445507345,0.4342675288860625,0.3329592358582368
656908,Ramayana,0.28206363958013925,0.0,0.45904082432516846,0.1800217932345714
297222,PK,0.7687741815031296,0.8355895908955067,0.7969503828760057,0.8139755170807998
1389149,Accused,0.5122463068684396,0.4934646689101469,0.4112153336964681,0.47160711403978717
20453,3 Idiots,0.7994066730069406,0.9364644680991537,0.7565882085521287,0.8619429209712144
1282440,Happy Patel: Khatarnak Jasoos,0.7029148763254672,0.2845178797180246,0.2668750418676497,0.3419845778540286
1275574,O'Romeo,0.46400795494751745,0.24673233445507345,0.5528651352543925,0.37116351776873574
360814,Dangal,0.7879554553464267,0.8350698652647989,0.6180930853170633,0.7629096697927223
1190511,Sitaare Zameen Par,0.6951125253240031,0.4516725783139147,0.512229366522747,0.5063556068280777
1081422,Kunwari Dulhan,0.28206363958013925,0.0,0.0,0.04230954593702089
1196946,Ikkis,0.5737616885414385,0.3131325226727623,0.49178143641968763,0.40582157167714134
1109086,War 2,0.5751157973701663,0.48776822277891935,0.6068107620988987,0.5365831207636003
7508,Like Stars on Earth,0.7950096301441673,0.8521186626705634,0.43561418489221687,0.7186009644581
1241634,Saiyaara,0.6373873258363514,0.5837713419552862,0.27127028914825024,0.49806342369533524
